#ZVView-data-copy:  23-Feb-2020 09:03:47
#=======================================
#
#name:   30-ZN-64(N,P)29-CU-64,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  320
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
          4.28          0.1        0.156     0.009672  # 2008,M.Furuta+           ## 23032009  #dY:6.2%   
          4.33        0.075        0.114        0.023  # 1962,K.Nakai+            ## 20291003  #dY:20.2%  
          4.33        0.025       0.1455       0.0077  # 1979,C.H.King+           ## 30529002  #dY:5.3%   
         4.344         0.38       0.1121     0.004484  # 1983,H.A.Husain+         ## 21879005  #dY:4.0%   
         4.372        0.079       0.1457     0.007287  # 1975,D.L.Smith+          ## 10238044  #dY:5.0%   
          4.44        0.025       0.1499        0.008  # 1979,C.H.King+           ## 30529002  #dY:5.3%   
          4.49        0.075        0.108        0.022  # 1962,K.Nakai+            ## 20291005  #dY:20.4%  
          4.49          0.1        0.111     0.005772  # 2008,M.Furuta+           ## 23032009  #dY:5.2%   
         4.504         0.38       0.1248     0.004992  # 1983,H.A.Husain+         ## 21879005  #dY:4.0%   
          4.54        0.025       0.1505        0.008  # 1979,C.H.King+           ## 30529002  #dY:5.3%   
         4.573         0.08       0.1488     0.007438  # 1975,D.L.Smith+          ## 10238044  #dY:5.0%   
          4.59          0.1        0.154     0.009856  # 2008,M.Furuta+           ## 23032009  #dY:6.4%   
          4.63         0.03        0.134        0.027  # 1962,K.Nakai+            ## 20291003  #dY:20.1%  
          4.65          0.1        0.158     0.012008  # 2008,M.Furuta+           ## 23032009  #dY:7.6%   
          4.67        0.025       0.1477       0.0078  # 1979,C.H.King+           ## 30529002  #dY:5.3%   
           4.7          0.1         0.16      0.01136  # 2008,M.Furuta+           ## 23032009  #dY:7.1%   
          4.72          0.1         0.19      0.01254  # 2008,M.Furuta+           ## 23032009  #dY:6.6%   
         4.799        0.081       0.1474     0.007372  # 1975,D.L.Smith+          ## 10238044  #dY:5.0%   
          4.82        0.025        0.125        0.025  # 1962,K.Nakai+            ## 20291005  #dY:20.0%  
          4.84        0.025       0.1548       0.0082  # 1979,C.H.King+           ## 30529002  #dY:5.3%   
          4.86         0.01        0.189        0.008  # 1972,D.C.Santry+         ## 10224003  #dY:4.2%   
          4.88         0.02        0.186        0.008  # 1972,D.C.Santry+         ## 10224003  #dY:4.3%   
           4.9         0.05       0.1816       0.0063  # 1999,Xiaolong Huang+     ## 31500002  #dY:3.5%   
          4.96         0.17        0.196        0.007  # 1972,D.C.Santry+         ## 10224004  #dY:3.6%   
         4.974        0.081       0.1628     0.008138  # 1975,D.L.Smith+          ## 10238044  #dY:5.0%   
          5.03         0.05        0.181        0.007  # 1972,D.C.Santry+         ## 10224003  #dY:3.9%   
